key,slug,name,status,group,group_order,site,service_page,root,workbook,layout_from,new_workbook,merged_into,note
rnaseq,rnaseq,RNA-seq,build,transcriptomics,0,rna-seq/,,WEBSITE,RNA-seq additional files/RNAseq-electronic 2025.xlsx,,,,
scrna-seq-10x,scrna-seq-10x,10X scRNA-seq,build,transcriptomics,2,single-cell-transcriptomics/,,FORMS,sc10X-electronic_2025.xlsx,,,,
illumina-scrna-seq,illumina-scrna-seq,Illumina scRNA-seq,build,transcriptomics,3,single-cell-transcriptomics/,,FORMS,,sc10X-electronic_2025.xlsx,,,
spatial-transcriptomics,spatial-transcriptomics,Spatial transcriptomics,build,transcriptomics,4,spatial-transcriptomics/,,FORMS,Spatial-electronic_2025.xlsx,,,,
metagenomics-16s-18s,metagenomics-16s-18s,Metagenomics — 16S / 18S,build,genomics,4,metagenomics/,,WEBSITE,Metagenomics/Metagenomics-electronicV2_2025.xlsx,,,,
shotgun-metagenomics,shotgun-metagenomics,Shotgun metagenomics,build,genomics,5,dna-seq/,metagenomics/,WEBSITE,,DNA-seqeucning additional files/DNAseq-electronicV2_2025.xlsx,Shotgun-metagenomics-electronic_2026.xlsx,,
amplicon-seq,amplicon-seq,Amplicon-seq,build,genomics,0,amplicon-seq/,,WEBSITE,Amplicon-seq/Amplicon-seq-electronic_2025.xlsx,,,,
dna-seq,dna-seq,DNA-seq,build,genomics,1,dna-seq/,,WEBSITE,DNA-seqeucning additional files/DNAseq-electronicV2_2025.xlsx,,,,
exome-seq,exome-seq,Exome-seq,build,genomics,2,exome-seq/,,WEBSITE,Exsome-seq/Exome-seq-electronicV2_2025.xlsx,,,,
chip-seq-cut-and-run,chip-seq-cut-and-run,ChIP-seq / Cut&Run,build,epigenomics,0,chip-seq/,,WEBSITE,ChIP-seq and cut&run additional files/ChIP-seq_Cut&Run-electronic_2025.xlsx,,,,
rrbs,rrbs,RRBS,build,epigenomics,1,dna-methylation/,,WEBSITE,Methylation additional files/RRBS-electronic_2025.xlsx,,,,
olink-reveal,olink-reveal,Olink Reveal,build,additional,3,olink_reveal/,,WEBSITE,Olink Reveal/Olink_reveal-electronicV2_2025.xlsx,,,,
user-prepared,user-prepared,User-prepared library sequencing,build,additional,4,user-prepared-library-sequencing/,,WEBSITE,User-prepared library sequencing additional files/User-prepared-electronicV2_2025.xlsx,,,,
nanopore,nanopore,Oxford Nanopore,build,genomics,3,long-read-sequencing/,,WEBSITE,Long read sequencing additional files/Oxford Nanopore-electronic_2025.xlsx,,,,
mirna-seq,mirna-seq,miRNA-seq,build,transcriptomics,1,mirna-seq/,,WEBSITE,miRNA-seq additional files/miRNAseq-electronic 2025.xlsx,,,,
cell-line-authentication,cell-line-authentication,Cell-line authentication,build,additional,0,cell-line-authentication/,,WEBSITE,Cell-line authentication additional files/CLA-electronic_2025.xlsx,,,,
dna-rna-quality-quantity,dna-rna-quality-quantity,DNA/RNA quality and quantity,build,additional,2,dna-rna-quality-and-quantity/,,WEBSITE,DNA-RNA quality and quantity additional files/DNA-RNA_Quality_&_Quantity-electronic_2025.xlsx,,,,
infinium-methylation,,Infinium methylation,withdrawn,,,,,WEBSITE,Methylation additional files/Infinium-methylation-electronic_2025.xlsx,,,,Service withdrawn. RRBS remains the methylation application.
extraction,extraction,DNA / RNA extraction,build,additional,1,dna-rna-extraction/,,WEBSITE,DNA-RNA extraction additional files/Extraction sample submission-electronic_2025.xlsx,,,,
cel-seq2,,CEL-seq2,withdrawn,,,,,WEBSITE,CEL-Seq2 additional files/CELseq-electronic 2025.xlsx,,,,Service withdrawn. Also remove CEL-Seq2 from the LibraryPrep vocabulary of the RNA-seq forms.
rna-seq-with-extraction,,RNA-seq with extraction,merged,,,,,WEBSITE,RNA-seq additional files/RNAseq-extraction-electronic 2025.xlsx,,,rnaseq,
metagenomics-with-extraction,,Metagenomics with extraction,merged,,,,,WEBSITE,Metagenomics/Metagenomics-extraction-electronicV2_2025.xlsx,,,metagenomics-16s-18s,
